is_scraping,car_model_designation_no,classification_no,car_name,car_model_name,youshiki,vin_start,vin_end,model_from,model_to,catalog_name,parts_code
False,15132,0017,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,13110 13400 13900 13900 14120 14190 14300 15100 15110 18213 33920 34100 37990 84701 84701 84701 84702 84702 84702 89101
False,15132,0017,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,13900 14190 14300 18213 33920
False,15132,0017,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,14190 18213 18213 33920 84701 84702
False,15132,0017,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,14300
False,15132,0018,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,17700 20002 20002 33920 34100 38880
False,15132,0018,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,33920
False,15132,0018,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,20002 20002 33920
False,15132,0018,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,20002 20002
False,15132,0061,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,13110 13400 14111 14111 14120 14130 14190 14300 14300 14300 15100 17700 17700 17700 18213 18213 27102 27102 31100 31100 31400 31400 33910 34100 35120 35320 35670 36770 36770 36770 37480 37990 38720 39101 41601 41602 41700 43210 43210 45110 45150 45201 45201 45202 45202 45910 46201 46201 46202 46202 46510 46860 48110 48150 48510 55101 55102 55311 58100 58100 58511 58611 58800 65950 68001 68002 68501 68501 68501 68701 68701 68701 69100 71711 71711 71711 71811 71811 71811 74100 74100 74100 74100 74120 74140 74140 74400 74430 83401 83401 83402 83402 83410 83440 83510 83540 84501 84502 84511 84541 84541 84546 84546 84570 84570 84580 84580 84701 84702 84703 84910 84910 84920 85105 85106 85180 85180 85180 85180 85180 85180 85180 85180 87105 87180 87180 87180 87180 87305 87380 87380 87380 87380 89101 95310 95411 　 　 　 　
False,15132,0066,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,33910 34100 37990 43402 46510 56110 56110 74400 84701 84701 84702 84702 84730 84740 85180 85180 85180 85180 86401 86401 86401 86401 87105 87105 87106 87106 87180 87180 87305 87306 87380 87380
False,15132,0083,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,17700 17700 17700 20002 20002 20002 20002 24710 27102 27102 27102 31100 31100 33910 34100
False,15132,0088,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,33910 34100
False,15132,0104,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,13110 13400 13900 14111 14120 14130 14190 14300 14300 15100 18213 33910 34100 37990 83501 83502 84701 84701 84701 84701 84701 84701 84701 84701 84701 84702 84702 84702 84702 84702 84702 84702 84702 84702
False,15132,0115,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,17700 17700 17700 20002 20002 20002 20002 34100 38880
False,15132,0121,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,48510 68500 68700 69100 74100 74100 84570 84910 84910 84910 84920 86401 95310 95411
False,15132,0127,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,86401
False,15132,0132,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,86401 86401 87305 87306 87380
False,15132,0158,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,18213
False,15132,0605,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,27101 45111 45151
False,15132,0605,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,27101 44101
False,15132,0605,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,44101 44102
False,15132,0608,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,74400 84701 84702
False,15132,0617,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,84701 84702
False,15132,0617,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,84701 84702
False,15132,0618,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,20002 20002
False,15132,0618,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,20002 20002
False,15132,0618,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,20002 20002
False,15132,0661,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,27101 27102 27102 27102 27450 38885 44101 44102 44111 45111 45151 45910
False,15132,0666,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,56110 56110 74400 84701 84701 84702 84702 84730 84740
False,15132,0683,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,20002 20002 20002 20002 27101 27102 27102 27102
False,15132,0704,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,27450 84701 84701 84701 84701 84701 84701 84701 84701 84701 84702 84702 84702 84702 84702 84702 84702 84702 84702
False,15132,0715,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,20002 20002 20002 20002 95310
False,15132,0721,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,44101 44102
False,15132,0758,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,27450
False,15133,0001,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,35120 35320 35650 35670 41601 41602 43210 55101 55102 55311 69100 71811 71811 71811 74400 84701 84701 84701 84701 84702 84702 84702 84702 86401 87105 87106 87180
False,15133,0001,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,55101 55102 69100
False,15133,0001,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,58100 84701 84701 84702 84702
False,15133,0001,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,84701 84701 84702 84702
False,15133,0007,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,69100 　
